paper_key	doi	oa_url	sha256	n_chars
10.1088_1367-2630_ac231c	10.1088/1367-2630/ac231c	https://iopscience.iop.org/article/10.1088/1367-2630/ac231c/pdf	5cf10baa2927bf91dccebd1f893d5fd44631c72619a2c96fd9634a7f5cb7afd6	47571
10.1103_m33v-xwn3	10.1103/m33v-xwn3	https://arxiv.org/pdf/2510.14193	14081a06bf337210e5a2976f79983695b7facf669e67c322280d705b3e665bc0	39383
10.1103_physrevb.88.054424	10.1103/physrevb.88.054424	http://link.aps.org/pdf/10.1103/PhysRevB.88.054424	c1becf6976be32527c483fe4e7e47e5764e559da14b80f56aab169d52c0b3cd4	26051
10.1103_physrevb.96.094420	10.1103/physrevb.96.094420	http://link.aps.org/pdf/10.1103/PhysRevB.96.094420	5d3d03adf543ad6c176ef82a72620baeddd33c4061414764d59ae6b045b0285f	68862
10.1103_physrevb.98.085437	10.1103/physrevb.98.085437	https://arxiv.org/pdf/1808.00619	ed55f22206a74b30c59d7a3932b6246d9e2fa7393b4a02b8fa6e2b8f79b212e5	36325
10.1103_physrevb.98.205425	10.1103/physrevb.98.205425	https://arxiv.org/pdf/1809.05055	cad78bafba02721166ce3607fd1f04a7c46a73f4b7c70ddc8fe7f4e3f8dd5258	25879
10.1103_physrevlett.116.025501	10.1103/physrevlett.116.025501	http://link.aps.org/pdf/10.1103/PhysRevLett.116.025501	19700b2002bd44fdf189b0935520141788a55dbfba0c538ff4034bce87155840	26301
10.1103_physrevmaterials.2.114003	10.1103/physrevmaterials.2.114003	https://arxiv.org/pdf/1808.04030	43e09b89261b3decdfc32257af4ca53cfefbbc0365422e54ac3545ef7978f66f	29583
10.1109_ted.2021.3119552	10.1109/ted.2021.3119552	https://arxiv.org/pdf/2201.03493	e2d2e5b727fe96eaa27ec9dff5a1288093324e764cf0d7ad9239394fa690a5b3	38713
10.1134_s0021364023600283	10.1134/s0021364023600283	https://link.springer.com/content/pdf/10.1134/S0021364023600283.pdf	2316f1091eefccfc627439b9e459719fcf24c56fc5866ad5138b01930f7fb140	29237
10.1186_s11671-018-2687-y	10.1186/s11671-018-2687-y	https://link.springer.com/content/pdf/10.1186/s11671-018-2687-y.pdf	7667a7e50b003b61dc4b1ae1a5c2294d381c9486100c6c3b72dca32514fc1b73	27398
10.1186_s11671-019-3097-5	10.1186/s11671-019-3097-5	https://link.springer.com/content/pdf/10.1186/s11671-019-3097-5.pdf	dcaa51d20d331479a4427adf9e4f04d3d5643dbfabee725f6298937df9208015	42403
10.1186_s11671-019-3142-4	10.1186/s11671-019-3142-4	https://link.springer.com/content/pdf/10.1186/s11671-019-3142-4.pdf	cd5ce34a6fea0378a10d6aa185376be0e8e7e7d9d89cec7903a92da1697b7656	32797
10.12693_aphyspola.147.124	10.12693/aphyspola.147.124	https://appol.ifpan.edu.pl/index.php/appa/article/download/147_124/147_124	bae55d69146a16e04d363cf1ed987c81db0b48de53bbe577ed95ec301d6a6c59	48627
10.15625_0868-3166_23002	10.15625/0868-3166/23002	https://doi.org/10.15625/0868-3166/23002	ee65cc1aea2a0f1285248f6f18d9e926f051a2b071d8c087c531acd1aab38e02	15902
10.21203_rs.3.rs-3221946_v1	10.21203/rs.3.rs-3221946/v1	https://www.researchsquare.com/article/rs-3221946/latest.pdf	3b619b122d8a9bd70f2a57fabd8cd41575d4e74b2377278c3896c23b1e463eca	24514
10.25073_2588-1124_vnumap.4371	10.25073/2588-1124/vnumap.4371	https://js.vnu.edu.vn/MaP/article/download/4371/4034	d709121308aa05edf645635559079191dc242fe5a9b2c29c9cf070164634d293	34564
10.3389_fchem.2022.1061703	10.3389/fchem.2022.1061703	https://doi.org/10.3389/fchem.2022.1061703	a19a1f8d3d6c7f121796360148665c60daf6ef34458729b992d9655f9ec0ab45	44330
10.3389_fmats.2021.683503	10.3389/fmats.2021.683503	https://www.frontiersin.org/articles/10.3389/fmats.2021.683503/pdf	9250bb5314aa194ec137910af6341235fcb508fd37978825cb47f67cf9e9840d	42187
10.4279_pip.130003	10.4279/pip.130003	https://www.papersinphysics.org/papersinphysics/article/download/677/357	21f37a6f2f8bf3dc95c7a49fb70014ded211a0d4c47436bd0eb19f5b8f89099f	28089
10.48550_arxiv.1701.03715	10.48550/arxiv.1701.03715	https://arxiv.org/pdf/1701.03715	defb35945b26b8416a68481de465591c4ef037ac096cfc72b5e5688eba81b0f0	32317
10.48550_arxiv.1703.03789	10.48550/arxiv.1703.03789	https://arxiv.org/pdf/1703.03789	777749e5772b37efb5705c9214501cff68404586c8630492d0cf6fe33217c2d1	41784
10.48550_arxiv.1703.09071	10.48550/arxiv.1703.09071	https://arxiv.org/pdf/1703.09071	60213a55d6c8a1ce5269829c682dcd53c42bb5cb7c3bef32524b29a84bfbbfc8	43801
10.48550_arxiv.2109.04006	10.48550/arxiv.2109.04006	https://arxiv.org/pdf/2109.04006	0220a1c8fad21a5c29af5da25399b78c0009826712fe309b6922d925cb44f49b	30350
10.48550_arxiv.2202.03963	10.48550/arxiv.2202.03963	https://arxiv.org/pdf/2202.03963	a66f0ec6418c29019d6996536c0b72bb8b07399bcace5861d6d874d12edbe518	45041
10.48550_arxiv.2207.10055	10.48550/arxiv.2207.10055	https://arxiv.org/pdf/2207.10055	6c4756c660cb3202f349f2d1a0ca7e6abcbfad3f0f4277935c0ae73e4dcea41d	49652
10.48550_arxiv.2210.08267	10.48550/arxiv.2210.08267	https://arxiv.org/pdf/2210.08267	bca5e73a1acf7b8117fbf0a1c255fdfc5f80b9e8b3e616b1f2e9abd499c5ad44	27675
10.48550_arxiv.2210.12697	10.48550/arxiv.2210.12697	https://arxiv.org/pdf/2210.12697	c8ecf37600846a9b4b2d1e530d050627cd1fdb5d5a69c8a08d00efe73ea99a36	34160
10.48550_arxiv.2305.08111	10.48550/arxiv.2305.08111	https://arxiv.org/pdf/2305.08111	75284823ca2876cd4af892afce4986eaa4e850e46cdfaf747377236827fbde09	44823
10.48550_arxiv.2312.06394	10.48550/arxiv.2312.06394	https://arxiv.org/pdf/2312.06394	b9f576ea31370765013ccc0d66ac6f2a33fa65d5d8a2c5adcee7d241bfb4ff28	31157
10.48550_arxiv.2401.05429	10.48550/arxiv.2401.05429	https://arxiv.org/pdf/2401.05429	1d7ea1a757a9a957bb3b940248af45470abb92fbbf6b9bd3ef5072ba5367be63	34431
10.48550_arxiv.2406.13096	10.48550/arxiv.2406.13096	https://arxiv.org/pdf/2406.13096	a1f1c1b75fa86bc7608fcf526f99217d3d7b3c75a86284f98f9368f93c5236d4	44552
